source,source_url,captured_at,ranking_year,ranking_key,ranking_date_updated,ranking_status,average_commits_used,organization_key,team,team_full_name,team_slug,team_abbreviation,rank,on3_rank,industry_rank,score,on3_score,commits,applied_commits,avg_rating,on3_avg_rating,total_rating,on3_total_rating,five_stars,on3_five_stars,four_stars,on3_four_stars,three_stars,on3_three_stars,avg_nil_value,conference_rank
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-04-14T16:14:21+00:00,2026,579,2026-04-14T16:07:54+00:00,Published,3,13002,Duke,Duke Blue Devils,duke-blue-devils,DUKE,1,1,1,98.314964157706,98,4,3,98.314964157706,98,96.693469495091,96,3,3,1,1,0,0,1095325,1
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-04-14T16:14:21+00:00,2026,579,2026-04-14T16:07:54+00:00,Published,3,3248,Arkansas,Arkansas Razorbacks,arkansas-razorbacks,ARK,2,2,2,97.852240143369,97,3,3,97.852240143369,97,97.852240143369,97,1,2,2,1,0,0,913861,1
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-04-14T16:14:21+00:00,2026,579,2026-04-14T16:07:54+00:00,Published,3,20559,USC,USC Trojans,usc-trojans,USC,3,3,3,97.797401433692,97,3,3,97.797401433692,97,97.797401433692,97,1,1,2,2,0,0,951274.5,1
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-04-14T16:14:21+00:00,2026,579,2026-04-14T16:07:54+00:00,Published,3,3376,Arizona,Arizona Wildcats,arizona-wildcats,ARIZ,4,6,4,96.349051963143,95.181666502647,2,2,97.167385460496,96,97.167385460496,96,1,1,1,1,0,0,835139.5,1
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-04-14T16:14:21+00:00,2026,579,2026-04-14T16:07:54+00:00,Published,3,15421,Michigan,Michigan Wolverines,michigan-wolverines,MICH,5,4,5,96.23932912576,96,6,3,96.23932912576,96,91.609881954184,91.333333333333,1,1,3,3,1,1,305929.75,2
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-04-14T16:14:21+00:00,2026,579,2026-04-14T16:07:54+00:00,Published,3,1867,Alabama,Alabama Crimson Tide,alabama-crimson-tide,BAMA,6,18,6,95.905949041608,92.666666666667,3,3,95.905949041608,92.666666666667,95.905949041608,92.666666666667,0,0,3,3,0,0,344178,2
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-04-14T16:14:21+00:00,2026,579,2026-04-14T16:07:54+00:00,Published,3,15453,Michigan State,Michigan State Spartans,michigan-state-spartans,MSU,7,5,7,95.883609942341,95.333333333333,4,3,95.883609942341,95.333333333333,95.09649368864,94.25,0,0,4,4,0,0,235161.5,3
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-04-14T16:14:21+00:00,2026,579,2026-04-14T16:07:54+00:00,Published,3,17525,Missouri,Missouri Tigers,missouri-tigers,MIZZ,8,13,8,95.620211937042,93.666666666667,3,3,95.620211937042,93.666666666667,95.620211937042,93.666666666667,1,0,2,2,0,1,553263.6666666666,3
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-04-14T16:14:21+00:00,2026,579,2026-04-14T16:07:54+00:00,Published,3,7493,Houston,Houston Cougars,houston-cougars,HOU,9,7,9,95.588772627004,95.181666502647,2,2,96.407106124357,96,96.407106124357,96,0,0,2,2,0,0,479281.5,2
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-04-14T16:14:21+00:00,2026,579,2026-04-14T16:07:54+00:00,Published,3,24966,Connecticut,Connecticut Huskies,connecticut-huskies,CONN,10,11,10,95.321428073475,93.681666502647,2,2,96.139761570828,94.5,96.139761570828,94.5,0,0,2,2,0,0,354948,1
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-04-14T16:14:21+00:00,2026,579,2026-04-14T16:07:54+00:00,Published,3,14710,Maryland,Maryland Terrapins,maryland-terrapins,MD,11,10,11,94.885183886551,94,4,3,94.885183886551,94,93.363887914914,92.5,1,0,2,3,1,1,578307.5,4
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-04-14T16:14:21+00:00,2026,579,2026-04-14T16:07:54+00:00,Published,3,7567,Kansas,Kansas Jayhawks,kansas-jayhawks,KAN,12,15,12,94.669752220664,93,4,3,94.669752220664,93,93.798328658252,92,0,0,4,2,0,2,291968.6666666667,3
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-04-14T16:14:21+00:00,2026,579,2026-04-14T16:07:54+00:00,Published,3,23628,Texas,Texas Longhorns,texas-longhorns,TEX,13,24,13,94.623831229547,92,4,3,94.623831229547,92,90.96787342216,89,0,0,3,2,0,1,474434,4
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-04-14T16:14:21+00:00,2026,579,2026-04-14T16:07:54+00:00,Published,3,15977,Miami,Miami Hurricanes,miami-hurricanes,MIA,14,8,14,94.442215007891,94.230387050902,1,1,98.211827956989,98,98.211827956989,98,1,1,0,0,0,0,871849,2
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-04-14T16:14:21+00:00,2026,579,2026-04-14T16:07:54+00:00,Published,3,8786,Purdue,Purdue Boilermakers,purdue-boilermakers,PUR,15,9,15,94.099516908213,94,5,3,94.099516908213,94,92.117173913044,91.4,0,0,3,3,2,2,93776.5,5
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-04-14T16:14:21+00:00,2026,579,2026-04-14T16:07:54+00:00,Published,3,9533,Ohio State,Ohio State Buckeyes,ohio-state-buckeyes,OHST,16,17,16,94.055918489557,92.681666502647,2,2,94.87425198691,93.5,94.87425198691,93.5,1,1,1,0,0,1,1145985,6
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-04-14T16:14:21+00:00,2026,579,2026-04-14T16:07:54+00:00,Published,3,10179,Oklahoma State,Oklahoma State Cowboys,oklahoma-state-cowboys,OKST,17,22,17,93.76445769051,92,3,3,93.76445769051,92,93.76445769051,92,0,0,3,2,0,1,257685.5,4
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-04-14T16:14:21+00:00,2026,579,2026-04-14T16:07:54+00:00,Published,3,8776,Indiana,Indiana Hoosiers,indiana-hoosiers,IND,18,26,18,93.230193236715,91.666666666667,3,3,93.230193236715,91.666666666667,93.230193236715,91.666666666667,0,0,3,3,0,0,113836,7
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-04-14T16:14:21+00:00,2026,579,2026-04-14T16:07:54+00:00,Published,3,19484,Florida State,Florida State Seminoles,florida-state-seminoles,FSU,19,23,19,93.219202898551,92,4,3,93.219202898551,92,92.796014492754,91.5,0,0,4,4,0,0,58371,3
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-04-14T16:14:21+00:00,2026,579,2026-04-14T16:07:54+00:00,Published,3,7145,Pittsburgh,Pittsburgh Panthers,pittsburgh-panthers,PITT,20,28,20,92.749963604096,91.181666502647,2,2,93.568297101449,92,93.568297101449,92,0,0,2,1,0,1,343716,4
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-04-14T16:14:21+00:00,2026,579,2026-04-14T16:07:54+00:00,Published,3,7862,Illinois,Illinois Fighting Illini,illinois-fighting-illini,ILL,21,12,21,92.701098644226,93.666666666667,4,3,92.701098644226,93.666666666667,90.910334852735,92.5,0,0,2,2,2,2,293509,8
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-04-14T16:14:21+00:00,2026,579,2026-04-14T16:07:54+00:00,Published,3,16253,Mississippi State,Mississippi State Bulldogs,mississippi-state-bulldogs,MSST,22,27,22,92.698671497585,91.333333333333,3,3,92.698671497585,91.333333333333,92.698671497585,91.333333333333,0,0,3,2,0,1,,5
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-04-14T16:14:21+00:00,2026,579,2026-04-14T16:07:54+00:00,Published,3,6900,West Virginia,West Virginia Mountaineers,west-virginia-mountaineers,WVU,23,16,23,92.688445371277,92.681666502647,2,2,93.50677886863,93.5,93.50677886863,93.5,0,0,1,2,1,0,200768.5,5
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-04-14T16:14:21+00:00,2026,579,2026-04-14T16:07:54+00:00,Published,3,21058,Vanderbilt,Vanderbilt Commodores,vanderbilt-commodores,VAN,24,29,24,92.664130434783,91,3,3,92.664130434783,91,92.664130434783,91,0,0,3,3,0,0,,6
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-04-14T16:14:21+00:00,2026,579,2026-04-14T16:07:54+00:00,Published,3,23590,Texas A&M,Texas A&M Aggies,texas-am-aggies,TAMU,25,21,25,92.246340415691,92.181666502647,2,2,93.064673913044,93,93.064673913044,93,0,0,2,2,0,0,,7
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-04-14T16:14:21+00:00,2026,579,2026-04-14T16:07:54+00:00,Published,3,2122,Baylor,Baylor Bears,baylor-bears,BAY,26,39,26,92.011791912987,89.230387050902,1,1,95.781404862085,93,95.781404862085,93,0,0,1,1,0,0,333382,6
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-04-14T16:14:21+00:00,2026,579,2026-04-14T16:07:54+00:00,Published,3,20420,VCU,VCU Rams,vcu-rams,VCU,27,20,27,91.999963604096,92.181666502647,2,2,92.818297101449,93,92.818297101449,93,0,0,2,2,0,0,7182,
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-04-14T16:14:21+00:00,2026,579,2026-04-14T16:07:54+00:00,Published,3,15221,Stanford,Stanford Cardinal,stanford-cardinal,STAN,28,31,28,91.986956521739,90.666666666667,5,3,91.986956521739,90.666666666667,91.222826086957,89.6,0,0,2,2,3,3,7487,5
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-04-14T16:14:21+00:00,2026,579,2026-04-14T16:07:54+00:00,Published,3,20147,Wake Forest,Wake Forest Demon Deacons,wake-forest-demon-deacons,WAKE,29,35,29,91.840180995401,89.681666502647,2,2,92.658514492754,90.5,92.658514492754,90.5,0,0,2,1,0,1,6892,6
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-04-14T16:14:21+00:00,2026,579,2026-04-14T16:07:54+00:00,Published,3,23643,Texas Tech,Texas Tech Red Raiders,texas-tech-red-raiders,TTU,30,19,30,91.839164517008,92.230387050902,1,1,95.608777466106,96,95.608777466106,96,0,0,1,1,0,0,299371,7
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-04-14T16:14:21+00:00,2026,579,2026-04-14T16:07:54+00:00,Published,3,21364,BYU,BYU Cougars,byu-cougars,BYU,31,14,31,91.829051737572,93.333333333333,4,3,91.829051737572,93.333333333333,88.871788803179,90,1,0,1,2,1,1,522457,8
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-04-14T16:14:21+00:00,2026,579,2026-04-14T16:07:54+00:00,Published,3,19614,Georgetown,Georgetown Hoyas,georgetown-hoyas,GU,32,30,32,91.754673749024,90.681666502647,2,2,92.573007246377,91.5,92.573007246377,91.5,0,0,1,1,1,1,215385,2
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-04-14T16:14:21+00:00,2026,579,2026-04-14T16:07:54+00:00,Published,3,10273,Oregon,Oregon Ducks,oregon-ducks,ORE,33,36,33,91.530917874396,89.666666666667,3,3,91.530917874396,89.666666666667,91.530917874396,89.666666666667,0,0,1,1,2,2,263998.6666666667,9
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-04-14T16:14:21+00:00,2026,579,2026-04-14T16:07:54+00:00,Published,3,16527,NC State,NC State Wolfpack,nc-state-wolfpack,NCST,34,25,34,91.470615778009,91.681666502647,2,2,92.288949275362,92.5,92.288949275362,92.5,0,0,1,2,1,0,124271.5,7
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-04-14T16:14:21+00:00,2026,579,2026-04-14T16:07:54+00:00,Published,3,16674,Nebraska,Nebraska Cornhuskers,nebraska-cornhuskers,NEB,35,34,35,91.456485343227,89.681666502647,2,2,92.27481884058,90.5,92.27481884058,90.5,0,0,2,1,0,1,7220,10
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-04-14T16:14:21+00:00,2026,579,2026-04-14T16:07:54+00:00,Published,3,8288,Iowa State,Iowa State Cyclones,iowa-state-cyclones,ISU,36,32,36,90.653381642512,90.333333333333,4,3,90.653381642512,90.333333333333,90.000905797101,89.75,0,0,2,2,2,2,,9
