source,source_url,captured_at,ranking_year,ranking_key,ranking_date_updated,ranking_status,average_commits_used,organization_key,team,team_full_name,team_slug,team_abbreviation,rank,on3_rank,industry_rank,score,on3_score,commits,applied_commits,avg_rating,on3_avg_rating,total_rating,on3_total_rating,five_stars,on3_five_stars,four_stars,on3_four_stars,three_stars,on3_three_stars,avg_nil_value,conference_rank
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-04T16:21:12+00:00,2026,579,2026-05-04T16:18:22+00:00,Published,3,13002,Duke,Duke Blue Devils,duke-blue-devils,DUKE,1,1,1,98.450716845878,98,5,3,98.450716845878,98,96.885203366059,96,3,3,2,1,0,1,1027290.25,1
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-04T16:21:12+00:00,2026,579,2026-05-04T16:18:22+00:00,Published,3,3248,Arkansas,Arkansas Razorbacks,arkansas-razorbacks,ARK,2,2,2,98.178853046595,97.666666666667,4,3,98.178853046595,97.666666666667,98.097311827957,97.25,1,2,3,2,0,0,914195.75,1
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-04T16:21:12+00:00,2026,579,2026-05-04T16:18:22+00:00,Published,3,20559,USC,USC Trojans,usc-trojans,USC,3,3,3,97.750806451613,97,3,3,97.750806451613,97,97.750806451613,97,1,1,2,2,0,0,922468.5,1
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-04T16:21:12+00:00,2026,579,2026-05-04T16:18:22+00:00,Published,3,7567,Kansas,Kansas Jayhawks,kansas-jayhawks,KAN,4,5,4,96.970878136201,96,6,3,96.970878136201,96,92.335197522207,91,1,1,4,2,0,2,499724.2,1
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-04T16:21:12+00:00,2026,579,2026-05-04T16:18:22+00:00,Published,3,1867,Alabama,Alabama Crimson Tide,alabama-crimson-tide,BAMA,5,10,5,96.397475455821,94.666666666667,3,3,96.397475455821,94.666666666667,96.397475455821,94.666666666667,0,0,3,3,0,0,317953.3333333333,2
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-04T16:21:12+00:00,2026,579,2026-05-04T16:18:22+00:00,Published,3,2122,Baylor,Baylor Bears,baylor-bears,BAY,6,6,6,96.395627465714,95.181666502647,2,2,97.213960963067,96,97.213960963067,96,1,1,1,1,0,0,746811,2
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-04T16:21:12+00:00,2026,579,2026-05-04T16:18:22+00:00,Published,3,3376,Arizona,Arizona Wildcats,arizona-wildcats,ARIZ,7,7,7,96.353493290866,95.181666502647,2,2,97.171826788219,96,97.171826788219,96,1,1,1,1,0,0,866340.5,3
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-04T16:21:12+00:00,2026,579,2026-05-04T16:18:22+00:00,Published,3,15421,Michigan,Michigan Wolverines,michigan-wolverines,MICH,8,4,8,96.307234689107,96.333333333333,6,3,96.307234689107,96.333333333333,91.640211547452,91.5,1,1,3,3,1,1,319801.25,2
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-04T16:21:12+00:00,2026,579,2026-05-04T16:18:22+00:00,Published,3,17525,Missouri,Missouri Tigers,missouri-tigers,MIZZ,9,14,9,95.72796478105,94,3,3,95.72796478105,94,95.72796478105,94,1,1,2,1,0,1,523969,3
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-04T16:21:12+00:00,2026,579,2026-05-04T16:18:22+00:00,Published,3,24966,Connecticut,Connecticut Huskies,connecticut-huskies,CONN,10,9,10,95.585161126303,94.681666502647,2,2,96.403494623656,95.5,96.403494623656,95.5,0,0,2,2,0,0,351526.5,1
