source,source_url,captured_at,ranking_year,ranking_key,ranking_date_updated,ranking_status,average_commits_used,organization_key,team,team_full_name,team_slug,team_abbreviation,rank,on3_rank,industry_rank,score,on3_score,commits,applied_commits,avg_rating,on3_avg_rating,total_rating,on3_total_rating,five_stars,on3_five_stars,four_stars,on3_four_stars,three_stars,on3_three_stars,avg_nil_value,conference_rank
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-02T12:09:50+00:00,2026,579,2026-05-02T03:15:40+00:00,Published,3,13002,Duke,Duke Blue Devils,duke-blue-devils,DUKE,1,1,1,98.459677419355,98,5,3,98.459677419355,98,97.004990649836,96.4,3,4,2,1,0,0,1027290.25,1
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-02T12:09:50+00:00,2026,579,2026-05-02T03:15:40+00:00,Published,3,3248,Arkansas,Arkansas Razorbacks,arkansas-razorbacks,ARK,2,2,2,98.168100358423,97.666666666667,4,3,98.168100358423,97.666666666667,98.018682795699,97,1,2,3,2,0,0,914195.75,1
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-02T12:09:50+00:00,2026,579,2026-05-02T03:15:40+00:00,Published,3,20559,USC,USC Trojans,usc-trojans,USC,3,3,3,97.784856630824,97,3,3,97.784856630824,97,97.784856630824,97,1,1,2,2,0,0,922468.5,1
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-02T12:09:50+00:00,2026,579,2026-05-02T03:15:40+00:00,Published,3,7567,Kansas,Kansas Jayhawks,kansas-jayhawks,KAN,4,4,4,97.063853825775,96.333333333333,6,3,97.063853825775,96.333333333333,92.375948652018,91.166666666667,1,1,4,2,0,2,499724.2,1
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-02T12:09:50+00:00,2026,579,2026-05-02T03:15:40+00:00,Published,3,3376,Arizona,Arizona Wildcats,arizona-wildcats,ARIZ,5,7,5,96.349928540983,95.181666502647,2,2,97.168262038336,96,97.168262038336,96,1,1,1,1,0,0,866340.5,2
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-02T12:09:50+00:00,2026,579,2026-05-02T03:15:40+00:00,Published,3,2122,Baylor,Baylor Bears,baylor-bears,BAY,6,9,6,96.266858181001,94.681666502647,2,2,97.085191678354,95.5,97.085191678354,95.5,1,1,1,1,0,0,746811,3
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-02T12:09:50+00:00,2026,579,2026-05-02T03:15:40+00:00,Published,3,15421,Michigan,Michigan Wolverines,michigan-wolverines,MICH,7,5,7,96.19824684432,96,6,3,96.19824684432,96,91.58873694873,91.333333333333,1,1,3,3,1,1,319801.25,2
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-02T12:09:50+00:00,2026,579,2026-05-02T03:15:40+00:00,Published,3,1867,Alabama,Alabama Crimson Tide,alabama-crimson-tide,BAMA,8,18,8,95.85711391616,92.666666666667,3,3,95.85711391616,92.666666666667,95.85711391616,92.666666666667,0,0,3,3,0,0,317953.3333333333,2
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-02T12:09:50+00:00,2026,579,2026-05-02T03:15:40+00:00,Published,3,15453,Michigan State,Michigan State Spartans,michigan-state-spartans,MSU,9,6,9,95.827692067945,95.333333333333,4,3,95.827692067945,95.333333333333,95.05319658719,94.25,0,0,4,4,0,0,220611.75,3
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-02T12:09:50+00:00,2026,579,2026-05-02T03:15:40+00:00,Published,3,17525,Missouri,Missouri Tigers,missouri-tigers,MIZZ,10,15,10,95.637462988936,93.666666666667,3,3,95.637462988936,93.666666666667,95.637462988936,93.666666666667,1,0,2,2,0,1,523969,3
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-02T12:09:50+00:00,2026,579,2026-05-02T03:15:40+00:00,Published,3,7493,Houston,Houston Cougars,houston-cougars,HOU,11,8,11,95.351173281516,95.181666502647,2,2,96.169506778869,96,96.169506778869,96,0,0,2,2,0,0,393205,4
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-02T12:09:50+00:00,2026,579,2026-05-02T03:15:40+00:00,Published,3,24966,Connecticut,Connecticut Huskies,connecticut-huskies,CONN,12,12,12,95.325957058982,93.681666502647,2,2,96.144290556335,94.5,96.144290556335,94.5,0,0,2,2,0,0,351526.5,1
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-02T12:09:50+00:00,2026,579,2026-05-02T03:15:40+00:00,Published,3,14710,Maryland,Maryland Terrapins,maryland-terrapins,MD,13,11,13,94.88639161602,94,4,3,94.88639161602,94,93.306460378682,92.5,1,0,2,3,1,1,547398.5,4
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-02T12:09:50+00:00,2026,579,2026-05-02T03:15:40+00:00,Published,3,10179,Oklahoma State,Oklahoma State Cowboys,oklahoma-state-cowboys,OKST,14,14,14,94.863249961041,93.666666666667,4,3,94.863249961041,93.666666666667,93.946169354839,92.5,0,0,4,3,0,1,225431.66666666666,5
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-02T12:09:50+00:00,2026,579,2026-05-02T03:15:40+00:00,Published,3,23628,Texas,Texas Longhorns,texas-longhorns,TEX,15,22,15,94.417247155992,92,4,3,94.417247155992,92,90.812935366994,89,0,0,3,2,0,1,432695,4
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-02T12:09:50+00:00,2026,579,2026-05-02T03:15:40+00:00,Published,3,8786,Purdue,Purdue Boilermakers,purdue-boilermakers,PUR,16,10,16,94.297463768116,94,5,3,94.297463768116,94,92.189275362319,91.4,0,0,3,3,2,2,106263.66666666667,5
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-02T12:09:50+00:00,2026,579,2026-05-02T03:15:40+00:00,Published,3,9533,Ohio State,Ohio State Buckeyes,ohio-state-buckeyes,OHST,17,17,17,94.030918489557,92.681666502647,2,2,94.84925198691,93.5,94.84925198691,93.5,1,1,1,0,0,1,1145985,6
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-02T12:09:50+00:00,2026,579,2026-05-02T03:15:40+00:00,Published,3,8776,Indiana,Indiana Hoosiers,indiana-hoosiers,IND,18,25,18,93.236231884058,91.666666666667,3,3,93.236231884058,91.666666666667,93.236231884058,91.666666666667,0,0,3,3,0,0,99149,7
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-02T12:09:50+00:00,2026,579,2026-05-02T03:15:40+00:00,Published,3,19484,Florida State,Florida State Seminoles,florida-state-seminoles,FSU,19,21,19,93.101328502415,92,5,3,93.101328502415,92,90.166086956522,89.2,0,0,4,4,0,0,56293.666666666664,2
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-02T12:09:50+00:00,2026,579,2026-05-02T03:15:40+00:00,Published,3,24635,Tennessee,Tennessee Volunteers,tennessee-volunteers,TENN,20,23,20,93.016425120773,92,4,3,93.016425120773,92,91.603985507246,90.75,0,0,2,2,2,2,157567,5
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-02T12:09:50+00:00,2026,579,2026-05-02T03:15:40+00:00,Published,3,7145,Pittsburgh,Pittsburgh Panthers,pittsburgh-panthers,PITT,21,28,21,92.749963604096,91.181666502647,2,2,93.568297101449,92,93.568297101449,92,0,0,2,1,0,1,328248,3
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-02T12:09:50+00:00,2026,579,2026-05-02T03:15:40+00:00,Published,3,7862,Illinois,Illinois Fighting Illini,illinois-fighting-illini,ILL,22,13,22,92.720266479663,93.666666666667,5,3,92.720266479663,93.666666666667,89.73976858345,91.6,0,0,2,2,3,3,320165,8
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-02T12:09:50+00:00,2026,579,2026-05-02T03:15:40+00:00,Published,3,21058,Vanderbilt,Vanderbilt Commodores,vanderbilt-commodores,VAN,23,31,23,92.600966183575,91,3,3,92.600966183575,91,92.600966183575,91,0,0,3,3,0,0,,6
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-02T12:09:50+00:00,2026,579,2026-05-02T03:15:40+00:00,Published,3,16253,Mississippi State,Mississippi State Bulldogs,mississippi-state-bulldogs,MSST,24,27,24,92.580193236715,91.333333333333,3,3,92.580193236715,91.333333333333,92.580193236715,91.333333333333,0,0,3,2,0,1,,7
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-02T12:09:50+00:00,2026,579,2026-05-02T03:15:40+00:00,Published,3,6900,West Virginia,West Virginia Mountaineers,west-virginia-mountaineers,WVU,25,24,25,92.22701028518,91.666666666667,4,3,92.22701028518,91.666666666667,89.170257713885,88.75,0,0,1,2,2,1,240671,6
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-02T12:09:50+00:00,2026,579,2026-05-02T03:15:40+00:00,Published,3,17948,Georgia Tech,Georgia Tech Yellow Jackets,georgia-tech-yellow-jackets,GTECH,26,30,26,91.919806763285,91,3,3,91.919806763285,91,91.919806763285,91,0,0,2,2,1,1,8567,4
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-02T12:09:50+00:00,2026,579,2026-05-02T03:15:40+00:00,Published,3,20420,VCU,VCU Rams,vcu-rams,VCU,27,20,27,91.909746212792,92.181666502647,2,2,92.728079710145,93,92.728079710145,93,0,0,2,2,0,0,7182,
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-02T12:09:50+00:00,2026,579,2026-05-02T03:15:40+00:00,Published,3,15221,Stanford,Stanford Cardinal,stanford-cardinal,STAN,28,32,28,91.90193236715,90.666666666667,5,3,91.90193236715,90.666666666667,91.14115942029,89.6,0,0,2,2,3,3,7487,5
