source,source_url,captured_at,ranking_year,ranking_key,ranking_date_updated,ranking_status,average_commits_used,organization_key,team,team_full_name,team_slug,team_abbreviation,rank,on3_rank,industry_rank,score,on3_score,commits,applied_commits,avg_rating,on3_avg_rating,total_rating,on3_total_rating,five_stars,on3_five_stars,four_stars,on3_four_stars,three_stars,on3_three_stars,avg_nil_value,conference_rank
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-14T11:51:57+00:00,2026,579,2026-05-14T02:19:15+00:00,Published,4,13002,Duke,Duke Blue Devils,duke-blue-devils,DUKE,1,1,1,98.219018817204,97.75,5,4,98.219018817204,97.75,96.884128097242,96,3,3,2,1,0,1,912637.25,1
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-14T11:51:57+00:00,2026,579,2026-05-14T02:19:15+00:00,Published,4,3248,Arkansas,Arkansas Razorbacks,arkansas-razorbacks,ARK,2,2,2,98.097311827957,97.25,4,4,98.097311827957,97.25,98.097311827957,97.25,1,2,3,2,0,0,864184,1
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-14T11:51:57+00:00,2026,579,2026-05-14T02:19:15+00:00,Published,4,20559,USC,USC Trojans,usc-trojans,USC,3,3,3,97.15334673979,96.402540288177,3,3,97.750806451613,97,97.750806451613,97,1,1,2,2,0,0,908467.5,1
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-14T11:51:57+00:00,2026,579,2026-05-14T02:19:15+00:00,Published,4,1867,Alabama,Alabama Crimson Tide,alabama-crimson-tide,BAMA,4,6,4,95.800015743998,94.069206954844,3,3,96.397475455821,94.666666666667,96.397475455821,94.666666666667,0,0,3,3,0,0,360357,2
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-14T11:51:57+00:00,2026,579,2026-05-14T02:19:15+00:00,Published,4,7567,Kansas,Kansas Jayhawks,kansas-jayhawks,KAN,5,5,5,95.701347007948,94.25,7,4,95.701347007948,94.25,91.33493120951,91.714285714286,1,1,4,2,2,4,480013.4,1
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-14T11:51:57+00:00,2026,579,2026-05-14T02:19:15+00:00,Published,4,15421,Michigan,Michigan Wolverines,michigan-wolverines,MICH,6,4,6,95.368650654511,95.25,6,4,95.368650654511,95.25,91.640211547452,91.5,1,1,3,3,1,1,294697.5,2
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-14T11:51:57+00:00,2026,579,2026-05-14T02:19:15+00:00,Published,4,17525,Missouri,Missouri Tigers,missouri-tigers,MIZZ,7,8,7,95.130505069227,93.402540288177,3,3,95.72796478105,94,95.72796478105,94,1,1,2,1,0,1,575579,3
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-14T11:51:57+00:00,2026,579,2026-05-14T02:19:15+00:00,Published,4,15453,Michigan State,Michigan State Spartans,michigan-state-spartans,MSU,8,9,8,94.783444366526,93.25,4,4,94.783444366526,93.25,94.783444366526,93.25,0,0,4,4,0,0,186227.5,3
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-14T11:51:57+00:00,2026,579,2026-05-14T02:19:15+00:00,Published,4,24966,Connecticut,Connecticut Huskies,connecticut-huskies,CONN,9,10,9,93.791180005059,92.887685381403,2,2,96.403494623656,95.5,96.403494623656,95.5,0,0,2,2,0,0,348726,1
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-14T11:51:57+00:00,2026,579,2026-05-14T02:19:15+00:00,Published,4,10179,Oklahoma State,Oklahoma State Cowboys,oklahoma-state-cowboys,OKST,10,15,10,93.713379499766,92.25,4,4,93.713379499766,92.25,93.713379499766,92.25,0,0,3,3,1,1,214357.66666666666,2
