source,source_url,captured_at,ranking_year,ranking_key,ranking_date_updated,ranking_status,average_commits_used,organization_key,team,team_full_name,team_slug,team_abbreviation,rank,on3_rank,industry_rank,score,on3_score,commits,applied_commits,avg_rating,on3_avg_rating,total_rating,on3_total_rating,five_stars,on3_five_stars,four_stars,on3_four_stars,three_stars,on3_three_stars,avg_nil_value,conference_rank
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-06-27T11:26:12+00:00,2026,579,2026-06-26T16:22:45+00:00,Published,4,3248,Arkansas,Arkansas Razorbacks,arkansas-razorbacks,ARK,1,2,1,98.237096774194,97.25,5,4,98.237096774194,97.25,94.589677419355,93.8,2,2,2,2,0,0,910631.5,1
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-06-27T11:26:12+00:00,2026,579,2026-06-26T16:22:45+00:00,Published,4,13002,Duke,Duke Blue Devils,duke-blue-devils,DUKE,2,1,2,98.147110215054,97.75,5,4,98.147110215054,97.75,96.771528751753,96,2,3,3,1,0,1,844416.25,1
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-06-27T11:26:12+00:00,2026,579,2026-06-26T16:22:45+00:00,Published,4,20559,USC,USC Trojans,usc-trojans,USC,3,3,3,97.135425592837,96.402540288177,3,3,97.73288530466,97,97.73288530466,97,1,1,2,2,0,0,894396,1
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-06-27T11:26:12+00:00,2026,579,2026-06-26T16:22:45+00:00,Published,4,1867,Alabama,Alabama Crimson Tide,alabama-crimson-tide,BAMA,4,6,4,95.773718408794,94.069206954844,3,3,96.371178120617,94.666666666667,96.371178120617,94.666666666667,0,0,3,3,0,0,346618.3333333333,2
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-06-27T11:26:12+00:00,2026,579,2026-06-26T16:22:45+00:00,Published,4,7567,Kansas,Kansas Jayhawks,kansas-jayhawks,KAN,5,5,5,95.690565100514,94.25,7,4,95.690565100514,94.25,91.33316970547,91.714285714286,1,1,4,2,2,4,454735.6,1
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-06-27T11:26:12+00:00,2026,579,2026-06-26T16:22:45+00:00,Published,4,15421,Michigan,Michigan Wolverines,michigan-wolverines,MICH,6,4,6,95.369950911641,95.25,6,4,95.369950911641,95.25,91.77332476235,91.5,1,1,3,3,1,1,271714.75,2
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-06-27T11:26:12+00:00,2026,579,2026-06-26T16:22:45+00:00,Published,4,17525,Missouri,Missouri Tigers,missouri-tigers,MIZZ,7,8,7,95.131634880666,93.402540288177,3,3,95.729094592489,94,95.729094592489,94,1,1,1,1,1,1,570792,3
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-06-27T11:26:12+00:00,2026,579,2026-06-26T16:22:45+00:00,Published,4,15453,Michigan State,Michigan State Spartans,michigan-state-spartans,MSU,8,9,8,94.644010051426,93.25,4,4,94.644010051426,93.25,94.644010051426,93.25,0,0,4,4,0,0,159432,3
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-06-27T11:26:12+00:00,2026,579,2026-06-26T16:22:45+00:00,Published,4,10179,Oklahoma State,Oklahoma State Cowboys,oklahoma-state-cowboys,OKST,9,15,9,93.647358578775,92.25,4,4,93.647358578775,92.25,93.647358578775,92.25,0,0,3,3,1,1,213484.66666666666,2
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-06-27T11:26:12+00:00,2026,579,2026-06-26T16:22:45+00:00,Published,4,24966,Connecticut,Connecticut Huskies,connecticut-huskies,CONN,10,10,10,93.52677490922,92.887685381403,2,2,96.139089527817,95.5,96.139089527817,95.5,0,0,2,2,0,0,309638,1
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-06-27T11:26:12+00:00,2026,579,2026-06-26T16:22:45+00:00,Published,4,14710,Maryland,Maryland Terrapins,maryland-terrapins,MD,11,12,11,93.37657199626,92.75,4,4,93.37657199626,92.75,93.37657199626,92.75,1,1,2,2,1,1,654859,4
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-06-27T11:26:12+00:00,2026,579,2026-06-26T16:22:45+00:00,Published,4,7493,Houston,Houston Cougars,houston-cougars,HOU,12,13,12,93.184295781398,92.73587362151,3,3,93.781755493221,93.333333333333,93.781755493221,93.333333333333,0,0,2,2,1,1,291944.5,3
