season,team,team_key,cbb_transfer_players,cbb_transfer_source_teams,cbb_transfer_500_minute_players,cbb_transfer_200_minute_players,cbb_transfer_high_usage_players,cbb_transfer_positive_warp_players,cbb_transfer_plus_one_warp_players,cbb_transfer_top_50_source_players,cbb_transfer_top_100_source_players,cbb_transfer_minutes,cbb_transfer_possessions,cbb_transfer_points,cbb_transfer_field_goal_attempts,cbb_transfer_free_throw_attempts,cbb_transfer_assists,cbb_transfer_offensive_rebounds,cbb_transfer_defensive_rebounds,cbb_transfer_rebounds,cbb_transfer_steals,cbb_transfer_blocks,cbb_transfer_turnovers,cbb_transfer_warp,cbb_transfer_win_shares,cbb_transfer_offensive_win_shares,cbb_transfer_defensive_win_shares,cbb_transfer_minutes_weighted_usage_pct,cbb_transfer_minutes_weighted_ortg_player,cbb_transfer_minutes_weighted_drtg_player,cbb_transfer_minutes_weighted_per,cbb_transfer_minutes_weighted_warp_per_40,cbb_transfer_minutes_weighted_win_shares_per_40,cbb_transfer_minutes_weighted_effective_fg_pct,cbb_transfer_minutes_weighted_true_shooting_pct,cbb_transfer_minutes_weighted_assist_pct,cbb_transfer_minutes_weighted_rebound_pct,cbb_transfer_minutes_weighted_turnover_pct,cbb_transfer_minutes_weighted_rapm,cbb_transfer_minutes_weighted_offensive_rapm,cbb_transfer_minutes_weighted_defensive_rapm,cbb_transfer_source_adjusted_points,cbb_transfer_source_adjusted_assists,cbb_transfer_source_adjusted_rebounds,cbb_transfer_source_adjusted_warp,cbb_transfer_source_adjusted_win_shares,cbb_transfer_minutes_weighted_source_adj_em,cbb_transfer_minutes_weighted_source_rank_adj_em,cbb_transfer_minutes_weighted_source_sos,cbb_transfer_minutes_weighted_source_context_multiplier,cbb_transfer_minutes_weighted_net_rating,cbb_transfer_players_percentile,cbb_transfer_500_minute_players_percentile,cbb_transfer_200_minute_players_percentile,cbb_transfer_high_usage_players_percentile,cbb_transfer_positive_warp_players_percentile,cbb_transfer_plus_one_warp_players_percentile,cbb_transfer_minutes_percentile,cbb_transfer_warp_percentile,cbb_transfer_win_shares_percentile,cbb_transfer_source_adjusted_warp_percentile,cbb_transfer_source_adjusted_win_shares_percentile,cbb_transfer_minutes_weighted_per_percentile,cbb_transfer_minutes_weighted_net_rating_percentile,cbb_transfer_minutes_weighted_source_adj_em_percentile,cbb_transfer_production_percentile
2027,Abilene Christian,abilene christian,2,2,0,0,0,1,0,1,2,127.59,217.60199999999998,40.0,44.0,9.0,5.0,4.0,13.0,17.0,6.0,2.0,7.0,-0.11739999999999998,0.1613,-0.1015,0.2628,0.21371018026491104,86.66116701935888,101.62528803197743,7.739280288423857,-0.036791841053374096,0.05057513127988087,0.3583372011913159,0.40884763304334193,0.06523194607727878,0.0762893659377694,0.13088744572458655,-1.781,-1.484,-0.297,52.20675,6.36375,22.380219999999998,-0.1350710145,0.213087178,14.988690054079473,52.25480053295713,4.562676879065758,1.2927529539932596,-14.964121012618548,0.22273781902552203,0.0,0.0,0.0,0.3294663573085847,0.0,0.2273781902552204,0.21345707656612528,0.27842227378190254,0.21577726218097448,0.29930394431554525,0.10614525139664804,0.1833810888252149,0.9553072625698324,0.2838989999347765
2027,Adams St.,adams state,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.002320185614849188,0.002320185614849188,0.002320185614849188,0.0,0.002320185614849188,0.0,0.2482598607888631,0.04640371229698376,0.25754060324825984,0.04176334106728538,,,,0.0754060324825986
2027,Adelphi,adelphi,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.002320185614849188,0.004640371229698376,0.004640371229698376,0.004640371229698376,0.002320185614849188,0.004640371229698376,0.002320185614849188,0.2505800464037123,0.048723897911832945,0.25986078886310904,0.04408352668213457,,,,0.07772621809744779
2027,Akron,akron,6,6,3,5,1,3,3,1,2,3161.58,5169.359,1113.0,853.0,296.0,236.0,157.0,346.0,503.0,69.0,45.0,169.0,4.81243,8.274799999999999,4.7361,3.5386,0.1900560507720823,114.07358336654458,112.14043845166026,15.059715220554281,0.06086486851510954,0.10467962158161426,0.5172819801491659,0.5583582046002316,0.15300205428931102,0.09384205169567116,0.14874486974866996,0.19577664016093235,0.3057416892819413,-0.10996504912100917,1036.829925,214.6142966666667,488.1281733333334,4.913871082383333,8.333369681833334,-0.6861878149532823,187.82463515077905,0.8363290563578971,0.9600259693781801,1.9331449148843234,0.8120649651972158,0.7215777262180975,0.839907192575406,0.4756380510440835,0.6682134570765661,0.8283062645011601,0.8283062645011601,0.7517401392111369,0.8352668213457076,0.7726218097447796,0.8190255220417634,0.6396648044692738,0.66189111747851,0.6089385474860335,0.7217179702770883
2027,Alabama,alabama,3,3,3,3,1,3,2,1,2,1939.5300000000002,3276.085,718.0,487.0,216.0,93.0,164.0,298.0,462.0,43.0,86.0,103.0,6.61189,6.4915,3.7746,2.7169999999999996,0.1804188332224817,120.40456038318561,108.99866864652776,18.493150045114017,0.13633402834707378,0.13388321242775308,0.6132070061819099,0.6092201590075946,0.09467868509381139,0.1370023228307889,0.15580147953370146,0.2611791104030359,0.6390406490232169,-0.3778615386201811,923.3597550000002,122.19200666666667,594.670955,8.520623195383335,8.355172890833334,13.642729221512425,64.2348713348079,12.388106785664567,1.28468462016571,11.40589173665785,0.37354988399071926,0.7238979118329466,0.617169373549884,0.4779582366589327,0.6705336426914154,0.7006960556844548,0.6682134570765661,0.8190255220417634,0.7679814385150812,0.8445475638051044,0.8213457076566125,0.8854748603351955,0.9197707736389685,0.9413407821229051,0.8292272937811855
2027,Alabama A&M,alabama a and m,3,3,1,2,1,0,0,0,0,835.03,1350.7269999999999,227.0,223.0,64.0,60.0,23.0,68.0,91.0,24.0,3.0,67.0,-2.43322,-0.07919999999999999,-0.8149,0.7356999999999999,0.20138122702178365,85.98922098607237,114.8196648024622,6.422685238853695,-0.11654348227009809,-0.003836178340897932,0.41218506844065483,0.45398997018071213,0.15742424595523513,0.06293586481922805,0.20924093433768848,-1.2097620564530618,-1.38816367076632,0.1784016143132582,144.79586666666665,37.133599999999994,65.42413333333333,-1.6373807973333332,-0.069853896,-14.822001259834977,307.5812126510425,-6.370185553812439,0.6551723149268089,-28.83044381638983,0.37587006960556846,0.4060324825986079,0.4593967517401392,0.4802784222737819,0.004640371229698376,0.0069605568445475635,0.44547563805104406,0.009280742459396751,0.02088167053364269,0.009280742459396751,0.013921113689095127,0.0670391061452514,0.04871060171919771,0.09217877094972067,0.1546626365160448
2027,Alabama St.,alabama state,4,4,1,2,2,1,1,0,0,1564.21,2624.708,871.0,721.0,209.0,103.0,33.0,114.0,147.0,64.0,7.0,122.0,2.3025399999999996,1.9433,1.2609000000000001,0.7004,0.303959788071934,103.17654059560728,119.63969588482365,16.649962375256518,0.05886610301685835,0.04978224198467413,0.4785253988914532,0.5358248193656862,0.18213411223556938,0.05472342588271396,0.13059617666425863,-5.2494853532894235,-2.0782238717035293,-3.171261481585894,482.9134483333334,56.98215166666667,81.91790666666667,1.246327216,1.0772621413333334,-27.788225175008467,358.2472046592209,-7.629337424003172,0.5553864128324628,-16.463155289216374,0.5452436194895591,0.40835266821345706,0.4617169373549884,0.6890951276102089,0.33178654292343385,0.5174013921113689,0.6148491879350348,0.6403712296983759,0.505800464037123,0.5870069605568445,0.42923433874709976,0.7430167597765364,0.16045845272206305,0.002793296089385475,0.42081595200577443
2027,Alas. Anchorage,alas anchorage,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.004640371229698376,0.0069605568445475635,0.0069605568445475635,0.0069605568445475635,0.0069605568445475635,0.009280742459396751,0.004640371229698376,0.2529002320185615,0.05104408352668213,0.26218097447795824,0.04640371229698376,,,,0.08004640371229699
2027,UAlbany,albany,2,2,1,2,1,1,1,0,0,907.22,1441.401,248.0,235.0,46.0,31.0,65.0,104.0,169.0,46.0,10.0,42.0,0.6212200000000001,2.3499,0.3649,1.9849999999999999,0.17153321906483543,102.56571460064814,100.25010030643062,12.209648605630386,0.02738672648310222,0.10359757721390621,0.4551175132823351,0.4784757020347875,0.07282003350896145,0.10787324640109344,0.146964283856176,-3.0394784065607015,-3.197652322479663,0.15817391591896127,216.36044166666665,26.94082333333333,146.81958833333331,0.5694387203166668,2.0473796926666665,-5.552433747051431,230.27201781265845,-9.954499127003373,0.8674594375491428,2.315614294217511,0.22505800464037123,0.41067285382830626,0.46403712296983757,0.48259860788863107,0.33410672853828305,0.5197215777262181,0.4756380510440835,0.5150812064965197,0.54292343387471,0.5266821345707656,0.5475638051044084,0.3435754189944134,0.6819484240687679,0.3994413407821229,0.483646004056124
2027,Alcorn,alcorn state,2,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.2273781902552204,0.009280742459396751,0.009280742459396751,0.009280742459396751,0.009280742459396751,0.01160092807424594,0.0069605568445475635,0.2552204176334107,0.05336426914153132,0.26450116009280744,0.048723897911832945,,,,0.08236658932714618
