season,team,team_key,ranking_year,on3_hs_teams_ranked,on3_hs_rank_percentile,on3_hs_source_file,on3_hs_source_url,on3_hs_captured_at,on3_hs_ranking_date_updated,on3_hs_rank,on3_hs_score,on3_hs_on3_score,on3_hs_commits,on3_hs_applied_commits,on3_hs_avg_rating,on3_hs_on3_avg_rating,on3_hs_total_rating,on3_hs_on3_total_rating,on3_hs_five_stars,on3_hs_on3_five_stars,on3_hs_four_stars,on3_hs_on3_four_stars,on3_hs_three_stars,on3_hs_on3_three_stars,on3_hs_avg_nil_value,on3_hs_conference_rank,on3_hs_player_count,on3_hs_player_top_25_count,on3_hs_player_top_50_count,on3_hs_player_top_100_count,on3_hs_player_best_rank,on3_hs_player_top_percentile,on3_hs_player_avg_percentile,on3_hs_player_weighted_percentile,on3_hs_player_avg_rating,on3_hs_player_pg_count,on3_hs_player_guard_count,on3_hs_player_forward_count,on3_hs_player_big_count,on3_hs_player_source_file,on3_transfer_teams_ranked,on3_transfer_rank_percentile,on3_transfer_source_file,on3_transfer_source_url,on3_transfer_captured_at,on3_transfer_ranking_date_updated,on3_transfer_rank,on3_transfer_index_score,on3_transfer_raw_score,on3_transfer_transfers_in,on3_transfer_transfers_in_avg_rating,on3_transfer_raw_score_in,on3_transfer_transfers_out,on3_transfer_transfers_out_avg_rating,on3_transfer_raw_score_out,on3_transfer_five_stars_net,on3_transfer_five_stars_in,on3_transfer_five_stars_out,on3_transfer_four_stars_net,on3_transfer_four_stars_in,on3_transfer_four_stars_out,on3_transfer_three_stars_net,on3_transfer_three_stars_in,on3_transfer_three_stars_out,on3_transfer_original_nil_valuation,on3_transfer_adjusted_nil_valuation,on3_transfer_nil_valuation_change
2027,Austin Peay,austin peay,2026,197,0.5765306122448979,/home/runner/work/ncaa-net-predictor/ncaa-net-predictor/data/raw/on3/hs/2026/on3_hs_2026_2026-07-17.json,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-07-17T19:36:13+00:00,2026-07-17T12:44:45+00:00,84.0,83.79981884058,88.0,5.0,4.0,83.79981884058,88.0,83.039855072464,86.4,0.0,0.0,0.0,0.0,4.0,4.0,,,5,0,0,0,292.0,0.2725,0.184375,0.19877118644067795,83.79981884057972,1,3,2,0,/home/runner/work/ncaa-net-predictor/ncaa-net-predictor/data/raw/on3/hs_commits/2026/on3_hs_commits_2026_2026-07-17.json,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,BYU,byu,2026,197,0.8418367346938775,/home/runner/work/ncaa-net-predictor/ncaa-net-predictor/data/raw/on3/hs/2026/on3_hs_2026_2026-07-17.json,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-07-17T19:36:13+00:00,2026-07-17T12:44:45+00:00,32.0,89.889334969612,93.5,5.0,4.0,89.889334969612,93.5,87.91146797569,90.8,1.0,1.0,1.0,2.0,2.0,1.0,,7.0,4,1,1,2,6.0,0.9875,0.5443749999999999,0.6303813559322033,89.88933496961197,1,1,2,1,/home/runner/work/ncaa-net-predictor/ncaa-net-predictor/data/raw/on3/hs_commits/2026/on3_hs_commits_2026_2026-07-17.json,79,0.47435897435897434,/home/runner/work/ncaa-net-predictor/ncaa-net-predictor/data/raw/on3/transfer/2026/on3_transfer_2026_2026-05-27.json,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-27T12:51:44+00:00,2026-05-27T02:01:19+00:00,42.0,9.0,98.105,3.0,82.333,141.544,9.0,67.111,43.439,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,1.0,1.0,4206384.0,4219686.0,13302.0
2027,Ball State,ball state,2026,197,0.18367346938775508,/home/runner/work/ncaa-net-predictor/ncaa-net-predictor/data/raw/on3/hs/2026/on3_hs_2026_2026-07-17.json,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-07-17T19:36:13+00:00,2026-07-17T12:44:45+00:00,161.0,77.31075,81.31075,1.0,1.0,84.0,88.0,84.0,88.0,0.0,0.0,0.0,0.0,1.0,1.0,,4.0,1,0,0,0,319.0,0.205,0.205,0.205,84.0,0,1,0,0,/home/runner/work/ncaa-net-predictor/ncaa-net-predictor/data/raw/on3/hs_commits/2026/on3_hs_commits_2026_2026-07-17.json,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,Baylor,baylor,2026,197,0.8724489795918368,/home/runner/work/ncaa-net-predictor/ncaa-net-predictor/data/raw/on3/hs/2026/on3_hs_2026_2026-07-17.json,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-07-17T19:36:13+00:00,2026-07-17T12:44:45+00:00,26.0,90.853970084032,90.069206954844,3.0,3.0,91.451429795855,90.666666666667,91.451429795855,90.666666666667,1.0,1.0,1.0,1.0,0.0,0.0,,6.0,3,1,2,2,10.0,0.9775,0.94125,0.9452777777777779,97.17714469378214,1,1,2,0,/home/runner/work/ncaa-net-predictor/ncaa-net-predictor/data/raw/on3/hs_commits/2026/on3_hs_commits_2026_2026-07-17.json,79,0.7692307692307692,/home/runner/work/ncaa-net-predictor/ncaa-net-predictor/data/raw/on3/transfer/2026/on3_transfer_2026_2026-05-27.json,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-27T12:51:44+00:00,2026-05-27T02:01:19+00:00,19.0,21.0,233.183,4.0,93.25,316.229,3.0,75.333,83.046,0.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,1922632.0,1473092.0,-449540.0
2027,Boise State,boise state,2026,197,0.2806122448979592,/home/runner/work/ncaa-net-predictor/ncaa-net-predictor/data/raw/on3/hs/2026/on3_hs_2026_2026-07-17.json,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-07-17T19:36:13+00:00,2026-07-17T12:44:45+00:00,142.0,78.953865942029,82.31075,1.0,1.0,85.643115942029,89.0,85.643115942029,89.0,0.0,0.0,0.0,0.0,1.0,1.0,,6.0,1,0,0,0,277.0,0.31,0.31,0.31,85.64311594202898,0,0,1,0,/home/runner/work/ncaa-net-predictor/ncaa-net-predictor/data/raw/on3/hs_commits/2026/on3_hs_commits_2026_2026-07-17.json,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,Boston College,boston college,2026,197,0.19387755102040816,/home/runner/work/ncaa-net-predictor/ncaa-net-predictor/data/raw/on3/hs/2026/on3_hs_2026_2026-07-17.json,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-07-17T19:36:13+00:00,2026-07-17T12:44:45+00:00,159.0,77.387685381403,77.387685381403,2.0,2.0,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,,17.0,,,,,,,,,,,,,,,79,0.5384615384615384,/home/runner/work/ncaa-net-predictor/ncaa-net-predictor/data/raw/on3/transfer/2026/on3_transfer_2026_2026-05-27.json,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-27T12:51:44+00:00,2026-05-27T02:01:19+00:00,37.0,12.0,137.222,9.0,77.667,292.315,12.0,71.833,155.093,0.0,0.0,0.0,2.0,5.0,3.0,2.0,3.0,1.0,0.0,-25777.0,-25777.0
2027,Boston University,boston university,2026,197,0.04081632653061229,/home/runner/work/ncaa-net-predictor/ncaa-net-predictor/data/raw/on3/hs/2026/on3_hs_2026_2026-07-17.json,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-07-17T19:36:13+00:00,2026-07-17T12:44:45+00:00,189.0,73.31075,73.31075,1.0,1.0,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,Bryant University,bryant,2026,197,0.030612244897959218,/home/runner/work/ncaa-net-predictor/ncaa-net-predictor/data/raw/on3/hs/2026/on3_hs_2026_2026-07-17.json,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-07-17T19:36:13+00:00,2026-07-17T12:44:45+00:00,191.0,73.31075,73.31075,1.0,1.0,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,Butler,butler,2026,197,0.5306122448979591,/home/runner/work/ncaa-net-predictor/ncaa-net-predictor/data/raw/on3/hs/2026/on3_hs_2026_2026-07-17.json,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-07-17T19:36:13+00:00,2026-07-17T12:44:45+00:00,93.0,83.126453497345,82.387685381403,2.0,2.0,85.738768115942,85.0,85.738768115942,85.0,0.0,0.0,1.0,1.0,0.0,0.0,,10.0,2,0,0,0,117.0,0.71,0.71,0.71,91.47753623188406,0,1,0,1,/home/runner/work/ncaa-net-predictor/ncaa-net-predictor/data/raw/on3/hs_commits/2026/on3_hs_commits_2026_2026-07-17.json,79,0.05128205128205132,/home/runner/work/ncaa-net-predictor/ncaa-net-predictor/data/raw/on3/transfer/2026/on3_transfer_2026_2026-05-27.json,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/?page=2,2026-05-27T12:51:44+00:00,2026-05-27T02:01:19+00:00,75.0,-10.0,-113.207,5.0,67.4,32.755,7.0,74.286,145.962,0.0,0.0,0.0,-1.0,1.0,2.0,0.0,1.0,1.0,0.0,-9477.0,-9477.0
2027,California,california,2026,197,0.6734693877551021,/home/runner/work/ncaa-net-predictor/ncaa-net-predictor/data/raw/on3/hs/2026/on3_hs_2026_2026-07-17.json,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-07-17T19:36:13+00:00,2026-07-17T12:44:45+00:00,65.0,85.7,86.75,4.0,4.0,85.7,86.75,85.7,86.75,0.0,0.0,0.0,1.0,3.0,2.0,,13.0,3,0,0,0,189.0,0.53,0.44333333333333336,0.45505102040816325,87.60000000000001,0,1,2,0,/home/runner/work/ncaa-net-predictor/ncaa-net-predictor/data/raw/on3/hs_commits/2026/on3_hs_commits_2026_2026-07-17.json,79,0.6666666666666667,/home/runner/work/ncaa-net-predictor/ncaa-net-predictor/data/raw/on3/transfer/2026/on3_transfer_2026_2026-05-27.json,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-27T12:51:44+00:00,2026-05-27T02:01:19+00:00,27.0,16.0,174.039,5.0,87.8,315.152,4.0,77.5,141.113,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,810503.0,231448.0,-579055.0
