source,source_url,captured_at,season,division,school,conference,former_coach,new_coach,hoopdirt_row_id
hoopdirt_coaching_changes,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-06-14T11:57:48+00:00,2026,D-I,Butler,Big East,Thad Matta,Ronald Nored,4765
hoopdirt_coaching_changes,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-06-14T11:57:48+00:00,2026,D-I,Charlotte,American,Aaron Fearne,Wes Miller,4767
hoopdirt_coaching_changes,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-06-14T11:57:48+00:00,2026,D-I,Troy,Sun Belt,Scott Cross,Adam Howard,4775
hoopdirt_coaching_changes,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-06-14T11:57:48+00:00,2026,D-I,UTRGV,Southland,Kahil Fennell,Brandon Chambers,4778
hoopdirt_coaching_changes,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-06-14T11:57:48+00:00,2026,D-I,South Florida,American,Brian Hodgson,Chris Mack,4779
hoopdirt_coaching_changes,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-06-14T11:57:48+00:00,2026,D-I,Siena,MAAC,Gerry McNamara,Nevada Smith,4781
hoopdirt_coaching_changes,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-06-14T11:57:48+00:00,2026,D-I,Creighton,Big East,Greg McDermott,Alan Huss,4782
hoopdirt_coaching_changes,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-06-14T11:57:48+00:00,2026,D-I,St Mary's,WCC,Randy Bennett,Mickey McConnell,4786
hoopdirt_coaching_changes,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-06-14T11:57:48+00:00,2026,D-I,Utah State,Mountain West,Jerrod Calhoun,Ben Jacobson,4787
hoopdirt_coaching_changes,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-06-14T11:57:48+00:00,2026,D-I,North Carolina,ACC,Hubert Davis,Michael Malone,4789
hoopdirt_coaching_changes,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-06-14T11:57:48+00:00,2026,D-I,College of Charleston,CAA,Chris Mack,John Groce,4792
hoopdirt_coaching_changes,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-06-14T11:57:48+00:00,2026,D-I,North Carolina State,ACC,Will Wade,Justin Gainey,4793
