feature,signal_group,coefficient,abs_coefficient
home_adj_tempo,program_history,0.01409661781572005,0.01409661781572005
home_coach_hm_guarantee_avg_margin_allowed_over_expected,coach_history_style,-0.01398397349146064,0.01398397349146064
away_coach_prior_big_overperform_rate,coach_history_style,-0.01381465478164868,0.01381465478164868
away_def_to_pct,program_history,-0.013229441050021619,0.013229441050021619
home_continuity,program_history,0.012681354313791991,0.012681354313791991
away_experience,program_history,-0.01236598799898888,0.01236598799898888
home_def_efg_pct,program_history,-0.011848914893647226,0.011848914893647226
away_coach_guarantee_pest_index,coach_history_style,-0.011284119740176459,0.011284119740176459
away_roster_talent_incoming_transfer_score,roster_talent,-0.010214942745698938,0.010214942745698938
away_roster_talent_incoming_transfer_production_percentile,roster_talent,-0.010214942745698938,0.010214942745698938
home_coach_prior_avg_def_to_pct,coach_history_style,0.010179651857898176,0.010179651857898176
away_coach_road_hm_avg_margin_over_expected,coach_history_style,-0.010029798901933623,0.010029798901933623
away_coach_hm_guarantee_avg_margin_over_expected,coach_history_style,-0.009800367083195326,0.009800367083195326
three_point_attempt_matchup,program_history,-0.009719001245345539,0.009719001245345539
three_point_make_matchup,program_history,-0.009237359723322337,0.009237359723322337
away_coach_prior_avg_to_pct,coach_history_style,0.00782474210042314,0.00782474210042314
home_coach_prior_avg_opp_three_point_attempt_rate,coach_history_style,0.007634753507145447,0.007634753507145447
tempo_gap,program_history,0.005693850997452305,0.005693850997452305
away_coach_prior_last3_avg_adj_em_over_expected,coach_history_style,0.005537306903866733,0.005537306903866733
home_coach_hm_guarantee_upset_allowed_rate,coach_history_style,-0.005413992274025792,0.005413992274025792
home_rank_adj_em,program_history,-0.005361061906334944,0.005361061906334944
off_rebound_matchup,program_history,-0.005258319276069625,0.005258319276069625
away_fg3_pct,program_history,0.005056562117153924,0.005056562117153924
home_coach_prior_big_underperform_rate,coach_history_style,0.0041891923925943975,0.0041891923925943975
home_coach_hm_guarantee_games_log,coach_history_style,0.004108722944492363,0.004108722944492363
away_apl_off,program_history,0.0034236380753387605,0.0034236380753387605
away_coach_prior_avg_def_to_pct,coach_history_style,0.003418925654837625,0.003418925654837625
away_opp_three_point_attempt_rate,program_history,0.002346547324785312,0.002346547324785312
away_roster_talent_returning_quality_index,roster_talent,0.0019023856471357384,0.0019023856471357384
away_roster_talent_continuity_plus_incoming,roster_talent,0.0002880572017540001,0.0002880572017540001
home_def_ft_rate,program_history,-0.0002681520383049411,0.0002681520383049411
away_adj_oe,program_history,0.00026053761233522986,0.00026053761233522986
away_roster_talent_incoming_hs_score,roster_talent,0.0,0.0
away_roster_talent_incoming_hs_rank_percentile,roster_talent,0.0,0.0
away_roster_talent_weighted_hs_rank_percentile,roster_talent,0.0,0.0
