season,train_rows,test_rows,test_upsets,test_upset_rate,auc,log_loss,brier,upset_rate_top_10_pct_risk,upset_rate_top_20_pct_risk
2020,1451,453,38,0.08388520971302428,0.7642993024730501,0.26362275923844963,0.07196706785544668,0.3333333333333333,0.21978021978021978
2021,1904,257,19,0.07392996108949416,0.8045112781954887,0.23058301055131222,0.06534550427565948,0.19230769230769232,0.17647058823529413
2022,2161,446,42,0.09417040358744394,0.766973125884017,0.2854953040499755,0.07570285571160179,0.4,0.25842696629213485
2023,2607,432,36,0.08333333333333333,0.7288159371492705,0.26403058458087075,0.07260698997411887,0.23255813953488372,0.2441860465116279
2024,3039,488,40,0.08196721311475409,0.6952008928571428,0.3491430810183106,0.10216949512809485,0.22448979591836735,0.19387755102040816
2025,3527,497,19,0.03822937625754527,0.7388240475666152,0.15155935489598574,0.03509536696790998,0.14,0.10101010101010101
2026,4024,525,19,0.03619047619047619,0.7934262533804868,0.13041000319463683,0.03060857818293104,0.17307692307692307,0.12380952380952381
