source,source_url,captured_at,ranking_year,ranking_key,ranking_date_updated,ranking_date_scheduled,ranking_status,ranking_staleness,organization_key,team,team_full_name,team_slug,team_abbreviation,rank,index_score,raw_score,date,date_modified,transfers_in,transfers_in_avg_rating,raw_score_in,transfers_out,transfers_out_avg_rating,raw_score_out,five_stars_net,five_stars_in,five_stars_out,four_stars_net,four_stars_in,four_stars_out,three_stars_net,three_stars_in,three_stars_out,original_nil_valuation,adjusted_nil_valuation,nil_valuation_change
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",6016,Xavier,Xavier Musketeers,xavier-musketeers,Xavier,1,43,469.697,2026-05-03,2026-05-03T01:58:04+00:00,6,92.167,479.229,6,61.5,9.532,0,0,0,6,6,0,-2,0,2,0,1808964,1808964
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",19484,Florida State,Florida State Seminoles,florida-state-seminoles,FSU,2,36,397.931,2026-05-03,2026-05-03T01:59:50+00:00,5,92.4,402.372,8,61,4.44,0,0,0,5,5,0,-2,0,2,0,1345952,1345952
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",8776,Indiana,Indiana Hoosiers,indiana-hoosiers,IND,3,35,383.088,2026-05-03,2026-05-03T01:58:30+00:00,6,93.5,476.039,7,69.571,92.951,0,0,0,4,6,2,0,0,0,0,4613585,4613585
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",21058,Vanderbilt,Vanderbilt Commodores,vanderbilt-commodores,VAN,4,29,321.048,2026-05-03,2026-05-03T02:00:14+00:00,5,92.8,385.973,8,69.625,64.925,0,0,0,4,5,1,-1,0,1,0,1532812,1532812
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",23628,Texas,Texas Longhorns,texas-longhorns,TEX,5,28,304.122,2026-05-03,2026-05-03T02:00:31+00:00,5,94.2,403.085,6,72.5,98.963,0,0,0,2,5,3,0,0,0,0,4003763,4003763
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",24078,UCLA,UCLA Bruins,ucla-bruins,UCLA,6,27,298.327,2026-05-03,2026-05-03T02:00:38+00:00,4,92,303.03,2,66,4.704,0,0,0,4,4,0,0,0,0,0,1412296,1412296
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",16266,South Carolina,South Carolina Gamecocks,south-carolina-gamecocks,SC,7,27,296.235,2026-05-03,2026-05-03T01:59:31+00:00,6,83.167,320.743,8,64.875,24.508,0,0,0,4,5,1,0,1,1,0,652701,652701
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",12005,Louisville,Louisville Cardinals,louisville-cardinals,LOU,8,26,287.986,2026-05-03,2026-05-03T01:58:54+00:00,6,88.833,400.172,6,71.833,112.186,1,1,0,3,5,2,-1,0,1,0,3757584,3757584
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",16527,NC State,NC State Wolfpack,nc-state-wolfpack,NCST,9,25,270.209,2026-05-03,2026-05-03T01:59:36+00:00,6,87.5,372.545,13,68.769,102.336,0,0,0,3,5,2,0,1,1,0,-2028347,-2028347
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",10179,Oklahoma State,Oklahoma State Cowboys,oklahoma-state-cowboys,OKST,10,23,256.329,2026-05-03,2026-05-03T01:58:47+00:00,5,92.6,386.019,5,74.6,129.69,0,0,0,3,5,2,-1,0,1,0,1227838,1227838
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",16253,Mississippi State,Mississippi State Bulldogs,mississippi-state-bulldogs,MSST,11,23,252.839,2026-05-03,2026-05-03T01:59:29+00:00,4,91.5,289.044,8,68.875,36.205,0,0,0,3,4,1,-2,0,2,0,-52077,-52077
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",7493,Houston,Houston Cougars,houston-cougars,HOU,12,23,252.162,2026-05-03,2026-05-03T01:58:14+00:00,4,93.75,293.617,3,74.667,41.455,0,0,0,3,4,1,0,0,0,0,891574,891574
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",16674,Nebraska,Nebraska Cornhuskers,nebraska-cornhuskers,NEB,13,23,249.889,2026-05-03,2026-05-03T01:59:38+00:00,6,82.5,293.807,5,67.8,43.918,0,0,0,3,4,1,2,2,0,0,-11878,-11878
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",23590,Texas A&M,Texas A&M Aggies,texas-am-aggies,TAMU,14,22,243.862,2026-05-03,2026-05-03T02:00:29+00:00,6,87.167,359.864,5,74.6,116.003,0,0,0,3,5,2,1,1,0,0,2544566,2544566
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",15347,Syracuse,Syracuse Orange,syracuse-orange,SYR,15,22,242.333,2026-05-03,2026-05-03T01:59:17+00:00,6,86.333,352.336,7,71.143,110.003,0,0,0,3,5,2,0,0,0,1599869,489929,-1109940
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",20559,USC,USC Trojans,usc-trojans,USC,16,21,235.925,2026-05-03,2026-05-03T02:00:10+00:00,3,93.333,234.272,6,65,-1.652,0,0,0,1,3,2,-1,0,1,0,2192116,2192116
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",2122,Baylor,Baylor Bears,baylor-bears,BAY,17,21,233.183,2026-05-03,2026-05-03T01:57:53+00:00,4,93.25,316.229,3,75.333,83.046,0,0,0,3,4,1,0,0,0,0,-464301,-464301
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",16357,SMU,SMU Mustangs,smu-mustangs,SMU,18,21,230.102,2026-05-03,2026-05-03T01:59:34+00:00,5,86,272.681,5,71.8,42.578,0,0,0,3,4,1,0,0,0,0,-507963,-507963
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",10273,Oregon,Oregon Ducks,oregon-ducks,ORE,19,21,229.563,2026-05-03,2026-05-03T01:58:49+00:00,8,85,406.349,8,74.75,176.786,0,0,0,3,6,3,0,0,0,1502062,-60415,-1562477
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",15977,Miami,Miami Hurricanes,miami-hurricanes,MIA,20,21,228.424,2026-05-03,2026-05-03T01:59:27+00:00,5,87.2,295.982,8,70.75,67.558,0,0,0,2,4,2,-1,0,1,0,2073841,2073841
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",13214,DePaul,DePaul Blue Demons,depaul-blue-demons,DePaul,21,21,228.392,2026-05-03,2026-05-03T01:59:03+00:00,6,76.167,224.441,6,61.833,-3.951,0,0,0,3,3,0,1,1,0,0,1073159,1073159
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",14710,Maryland,Maryland Terrapins,maryland-terrapins,MD,22,20,215.546,2026-05-03,2026-05-03T01:59:11+00:00,6,81.833,292.888,6,69.333,77.342,0,0,0,3,4,1,1,1,0,0,230376,230376
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",24966,Connecticut,Connecticut Huskies,connecticut-huskies,CONN,23,19,212.641,2026-05-03,2026-05-03T02:00:47+00:00,4,93.75,301.575,5,74,88.934,0,0,0,2,4,2,0,0,0,0,-1131808,-1131808
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",19663,Villanova,Villanova Wildcats,villanova-wildcats,NOVA,24,18,201.765,2026-05-03,2026-05-03T01:59:57+00:00,4,92.75,308.049,8,70.375,106.284,0,0,0,2,4,2,0,0,0,0,1521843,1521843
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",6900,West Virginia,West Virginia Mountaineers,west-virginia-mountaineers,WVU,25,16,180.191,2026-05-03,2026-05-03T01:58:07+00:00,5,80.4,238.94,7,65.714,58.749,0,0,0,2,3,1,1,1,0,0,1493148,1493148
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",10166,Oklahoma,Oklahoma Sooners,oklahoma-sooners,OKLA,26,16,174.764,2026-05-03,2026-05-03T01:58:45+00:00,3,91.667,224.769,4,68.75,50.004,0,0,0,2,3,1,0,0,0,0,-152183,-152183
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",20676,California,California Golden Bears,california-golden-bears,CAL,27,16,174.039,2026-05-03,2026-05-03T02:00:12+00:00,5,87.8,315.152,4,77.5,141.113,0,0,0,2,4,2,0,0,0,0,-276700,-276700
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",21364,BYU,BYU Cougars,byu-cougars,BYU,28,15,170.167,2026-05-03,2026-05-03T02:00:21+00:00,3,82.333,146.645,9,63.667,-23.522,0,0,0,1,2,1,0,1,1,4206384,4219686,13302
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",23426,Clemson,Clemson Tigers,clemson-tigers,CLEM,29,15,168.902,2026-05-03,2026-05-03T02:00:24+00:00,3,92.667,234.165,3,71.667,65.263,0,0,0,2,3,1,-1,0,1,0,129315,129315
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",13173,Creighton,Creighton Bluejays,creighton-bluejays,Creighton,30,15,165.279,2026-05-03,2026-05-03T01:59:01+00:00,4,88.25,254.264,8,68.75,88.984,0,0,0,2,4,2,0,0,0,0,2097056,2097056
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",15505,Minnesota,Minnesota Golden Gophers,minnesota-golden-gophers,MINN,31,15,164.579,2026-05-03,2026-05-03T01:59:24+00:00,4,83.25,218.158,6,65.833,53.579,0,0,0,2,3,1,0,1,1,0,-109856,-109856
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",8288,Iowa State,Iowa State Cyclones,iowa-state-cyclones,ISU,32,15,162.147,2026-05-03,2026-05-03T01:58:26+00:00,5,81.8,207.297,4,69.25,45.15,0,0,0,2,3,1,1,1,0,1988422,1170608,-817814
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",20439,Virginia Tech,Virginia Tech Hokies,virginia-tech-hokies,VT,33,15,160.135,2026-05-03,2026-05-03T02:00:05+00:00,3,91.667,227.617,7,67.286,67.481,0,0,0,1,3,2,-3,0,3,0,-1514083,-1514083
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",8918,Providence,Providence Friars,providence-friars,PROV,34,14,153.957,2026-05-03,2026-05-03T01:58:33+00:00,7,83.714,357.616,8,75.375,203.659,0,0,0,3,6,3,-2,0,2,0,-324046,-324046
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",1894,Auburn,Auburn Tigers,auburn-tigers,AUB,35,13,147.841,2026-05-03,2026-05-03T01:57:50+00:00,5,91.4,321.509,6,79.5,173.669,0,0,0,2,5,3,-1,0,1,0,-2337634,-2337634
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",14543,Marquette,Marquette Golden Eagles,marquette-golden-eagles,MARQ,36,13,145.93,2026-05-03,2026-05-03T01:59:08+00:00,2,94.5,168.023,4,67.5,22.093,0,0,0,2,2,0,-1,0,1,0,1776092,1776092
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",9533,Ohio State,Ohio State Buckeyes,ohio-state-buckeyes,OHST,37,11,119.873,2026-05-03,2026-05-03T01:58:40+00:00,4,87.5,226.074,6,73.5,106.201,0,0,0,2,4,2,0,0,0,0,-147430,-147430
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",24635,Tennessee,Tennessee Volunteers,tennessee-volunteers,TENN,38,11,117.257,2026-05-03,2026-05-03T02:00:40+00:00,6,92.833,376.4,7,85,259.143,0,0,0,1,6,5,0,0,0,0,539092,539092
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-03T12:05:49+00:00,2026,645,2026-05-03T02:01:25+00:00,2026-05-04T02:00:00+00:00,Draft,"On300, Consensus",17948,Georgia Tech,Georgia Tech Yellow Jackets,georgia-tech-yellow-jackets,GTECH,39,11,115.51,2026-05-03,2026-05-03T01:59:46+00:00,4,92,283.473,9,74.333,167.964,0,0,0,1,4,3,-1,0,1,1528009,-2024939,-3552948
