source,source_url,captured_at,ranking_year,ranking_key,ranking_date_updated,ranking_date_scheduled,ranking_status,ranking_staleness,organization_key,team,team_full_name,team_slug,team_abbreviation,rank,index_score,raw_score,date,date_modified,transfers_in,transfers_in_avg_rating,raw_score_in,transfers_out,transfers_out_avg_rating,raw_score_out,five_stars_net,five_stars_in,five_stars_out,four_stars_net,four_stars_in,four_stars_out,three_stars_net,three_stars_in,three_stars_out,original_nil_valuation,adjusted_nil_valuation,nil_valuation_change
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-06T16:40:40+00:00,2026,645,2026-05-06T02:01:34+00:00,2026-05-07T02:00:00+00:00,Draft,"On300, Consensus",6016,Xavier,Xavier Musketeers,xavier-musketeers,Xavier,1,43,469.697,2026-05-06,2026-05-06T01:58:18+00:00,6,92.167,479.229,6,61.5,9.532,0,0,0,6,6,0,-2,0,2,0,1771711,1771711
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-06T16:40:40+00:00,2026,645,2026-05-06T02:01:34+00:00,2026-05-07T02:00:00+00:00,Draft,"On300, Consensus",19484,Florida State,Florida State Seminoles,florida-state-seminoles,FSU,2,36,397.931,2026-05-06,2026-05-06T01:59:59+00:00,5,92.4,402.372,8,61,4.44,0,0,0,5,5,0,-2,0,2,0,1267505,1267505
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-06T16:40:40+00:00,2026,645,2026-05-06T02:01:34+00:00,2026-05-07T02:00:00+00:00,Draft,"On300, Consensus",8776,Indiana,Indiana Hoosiers,indiana-hoosiers,IND,3,35,383.088,2026-05-06,2026-05-06T01:58:43+00:00,6,93.5,476.039,7,69.571,92.951,0,0,0,4,6,2,0,0,0,0,4611237,4611237
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-06T16:40:40+00:00,2026,645,2026-05-06T02:01:34+00:00,2026-05-07T02:00:00+00:00,Draft,"On300, Consensus",21058,Vanderbilt,Vanderbilt Commodores,vanderbilt-commodores,VAN,4,29,321.048,2026-05-06,2026-05-06T02:00:24+00:00,5,92.8,385.973,8,69.625,64.925,0,0,0,4,5,1,-1,0,1,0,1367769,1367769
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-06T16:40:40+00:00,2026,645,2026-05-06T02:01:34+00:00,2026-05-07T02:00:00+00:00,Draft,"On300, Consensus",23628,Texas,Texas Longhorns,texas-longhorns,TEX,5,28,304.122,2026-05-06,2026-05-06T02:00:41+00:00,5,94.2,403.085,6,72.5,98.963,0,0,0,2,5,3,0,0,0,0,3962776,3962776
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-06T16:40:40+00:00,2026,645,2026-05-06T02:01:34+00:00,2026-05-07T02:00:00+00:00,Draft,"On300, Consensus",24078,UCLA,UCLA Bruins,ucla-bruins,UCLA,6,27,298.327,2026-05-06,2026-05-06T02:00:48+00:00,4,92,303.03,2,66,4.704,0,0,0,4,4,0,0,0,0,0,1430013,1430013
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-06T16:40:40+00:00,2026,645,2026-05-06T02:01:34+00:00,2026-05-07T02:00:00+00:00,Draft,"On300, Consensus",16266,South Carolina,South Carolina Gamecocks,south-carolina-gamecocks,SC,7,27,296.235,2026-05-06,2026-05-06T01:59:41+00:00,6,83.167,320.743,8,64.875,24.508,0,0,0,4,5,1,0,1,1,0,645055,645055
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-06T16:40:40+00:00,2026,645,2026-05-06T02:01:34+00:00,2026-05-07T02:00:00+00:00,Draft,"On300, Consensus",12005,Louisville,Louisville Cardinals,louisville-cardinals,LOU,8,26,287.986,2026-05-06,2026-05-06T01:59:06+00:00,6,88.833,400.172,6,71.833,112.186,1,1,0,3,5,2,-1,0,1,0,3738560,3738560
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-06T16:40:40+00:00,2026,645,2026-05-06T02:01:34+00:00,2026-05-07T02:00:00+00:00,Draft,"On300, Consensus",16527,NC State,NC State Wolfpack,nc-state-wolfpack,NCST,9,25,277.852,2026-05-06,2026-05-06T01:59:46+00:00,6,87.5,372.545,12,68.583,94.693,0,0,0,3,5,2,0,1,1,0,-973708,-973708
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-06T16:40:40+00:00,2026,645,2026-05-06T02:01:34+00:00,2026-05-07T02:00:00+00:00,Draft,"On300, Consensus",10179,Oklahoma State,Oklahoma State Cowboys,oklahoma-state-cowboys,OKST,10,23,256.329,2026-05-06,2026-05-06T01:58:59+00:00,5,92.6,386.019,5,74.6,129.69,0,0,0,3,5,2,-1,0,1,0,1247065,1247065
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-06T16:40:40+00:00,2026,645,2026-05-06T02:01:34+00:00,2026-05-07T02:00:00+00:00,Draft,"On300, Consensus",7493,Houston,Houston Cougars,houston-cougars,HOU,11,23,252.162,2026-05-06,2026-05-06T01:58:27+00:00,4,93.75,293.617,3,74.667,41.455,0,0,0,3,4,1,0,0,0,0,914500,914500
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-06T16:40:40+00:00,2026,645,2026-05-06T02:01:34+00:00,2026-05-07T02:00:00+00:00,Draft,"On300, Consensus",16674,Nebraska,Nebraska Cornhuskers,nebraska-cornhuskers,NEB,12,23,249.889,2026-05-06,2026-05-06T01:59:48+00:00,6,82.5,293.807,5,67.8,43.918,0,0,0,3,4,1,2,2,0,0,488122,488122
