source,source_url,captured_at,ranking_year,ranking_key,ranking_date_updated,ranking_date_scheduled,ranking_status,ranking_staleness,organization_key,team,team_full_name,team_slug,team_abbreviation,rank,index_score,raw_score,date,date_modified,transfers_in,transfers_in_avg_rating,raw_score_in,transfers_out,transfers_out_avg_rating,raw_score_out,five_stars_net,five_stars_in,five_stars_out,four_stars_net,four_stars_in,four_stars_out,three_stars_net,three_stars_in,three_stars_out,original_nil_valuation,adjusted_nil_valuation,nil_valuation_change
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-09T14:19:59+00:00,2026,645,2026-05-09T02:01:43+00:00,2026-05-10T02:00:00+00:00,Draft,"On300, Consensus",6016,Xavier,Xavier Musketeers,xavier-musketeers,Xavier,1,43,467.923,2026-05-09,2026-05-09T01:58:36+00:00,7,87.571,477.456,6,61.5,9.532,0,0,0,6,6,0,-3,0,3,0,1771711,1771711
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-09T14:19:59+00:00,2026,645,2026-05-09T02:01:43+00:00,2026-05-10T02:00:00+00:00,Draft,"On300, Consensus",23628,Texas,Texas Longhorns,texas-longhorns,TEX,2,32,355.788,2026-05-09,2026-05-09T02:01:22+00:00,5,94.2,407.371,6,69.5,51.583,0,0,0,2,5,3,0,0,0,465741,4428517,3962776
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-09T14:19:59+00:00,2026,645,2026-05-09T02:01:43+00:00,2026-05-10T02:00:00+00:00,Draft,"On300, Consensus",20559,USC,USC Trojans,usc-trojans,USC,3,31,339.272,2026-05-09,2026-05-09T02:01:00+00:00,6,82,287.826,6,61.833,-51.445,0,0,0,2,4,2,-1,0,1,343774,2537931,2194157
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-09T14:19:59+00:00,2026,645,2026-05-09T02:01:43+00:00,2026-05-10T02:00:00+00:00,Draft,"On300, Consensus",8776,Indiana,Indiana Hoosiers,indiana-hoosiers,IND,4,30,325.875,2026-05-09,2026-05-09T01:59:05+00:00,6,90.5,418.826,7,69.571,92.951,0,0,0,4,6,2,0,0,0,0,4611237,4611237
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-09T14:19:59+00:00,2026,645,2026-05-09T02:01:43+00:00,2026-05-10T02:00:00+00:00,Draft,"On300, Consensus",19484,Florida State,Florida State Seminoles,florida-state-seminoles,FSU,5,29,321.86,2026-05-09,2026-05-09T02:00:41+00:00,5,86.4,326.3,8,61,4.44,0,0,0,4,5,1,-2,0,2,0,1267505,1267505
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-09T14:19:59+00:00,2026,645,2026-05-09T02:01:43+00:00,2026-05-10T02:00:00+00:00,Draft,"On300, Consensus",21058,Vanderbilt,Vanderbilt Commodores,vanderbilt-commodores,VAN,6,29,321.048,2026-05-09,2026-05-09T02:01:05+00:00,5,92.8,385.973,8,69.625,64.925,0,0,0,4,5,1,-1,0,1,704385,2072154,1367769
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-09T14:19:59+00:00,2026,645,2026-05-09T02:01:43+00:00,2026-05-10T02:00:00+00:00,Draft,"On300, Consensus",16357,SMU,SMU Mustangs,smu-mustangs,SMU,7,29,318.267,2026-05-09,2026-05-09T02:00:21+00:00,5,92.4,360.845,5,71.8,42.578,0,0,0,4,5,1,0,0,0,1383811,865926,-517885
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-09T14:19:59+00:00,2026,645,2026-05-09T02:01:43+00:00,2026-05-10T02:00:00+00:00,Draft,"On300, Consensus",15977,Miami,Miami Hurricanes,miami-hurricanes,MIA,8,28,303.076,2026-05-09,2026-05-09T02:00:10+00:00,6,88.167,370.634,8,70.75,67.558,0,0,0,3,5,2,0,1,1,0,2613210,2613210
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-09T14:19:59+00:00,2026,645,2026-05-09T02:01:43+00:00,2026-05-10T02:00:00+00:00,Draft,"On300, Consensus",24078,UCLA,UCLA Bruins,ucla-bruins,UCLA,9,27,298.327,2026-05-09,2026-05-09T02:01:29+00:00,4,92,303.03,2,66,4.704,0,0,0,4,4,0,0,0,0,619620,2049633,1430013
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-05-09T14:19:59+00:00,2026,645,2026-05-09T02:01:43+00:00,2026-05-10T02:00:00+00:00,Draft,"On300, Consensus",16266,South Carolina,South Carolina Gamecocks,south-carolina-gamecocks,SC,10,27,296.235,2026-05-09,2026-05-09T02:00:17+00:00,6,83.167,320.743,8,64.875,24.508,0,0,0,4,5,1,0,1,1,532426,1177481,645055
